id,componentnumber,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted degree,degree,modularity_class,pageranks,clustering,triangles,eigencentrality,
Meat Loaf,0,22,0.098765432,0.128133317,0,1,1,5,0.001253014,0,0,0.072138837,
Eugenie Bondurant,0,22,0.098765432,0.128133317,0,1,1,5,0.001253014,0,0,0.072138837,
Forrest Gump,0,19,0.131245339,0.182866791,1194,4,4,6,0.004328498,0,0,0.24739725,
Robert Zemeckis,0,20,0.116710875,0.155253487,688,2,2,6,0.00234407,0,0,0.124342852,
Tom Hanks,0,18,0.149152542,0.216017108,4636.50757,5,5,46,0.004644168,0,0,0.483857874,
Siobhan Fallon Hogan,0,20,0.116094987,0.147204244,0,1,1,6,0.001283674,0,0,0.08033928,
Sam Anderson,0,20,0.116094987,0.147204244,0,1,1,6,0.001283674,0,0,0.08033928,
Star Wars: Episode V - The Empire Strikes Back,0,15,0.128,0.171731504,404.6666667,4,4,7,0.003996346,0,0,0.354717065,
Irvin Kershner,0,16,0.113548387,0.139226131,0,1,1,7,0.001212968,0,0,0.104697825,
Harrison Ford,0,14,0.145936982,0.207286669,3501.25464,6,6,7,0.005280654,0,0,0.684743425,
Kenny Baker,0,16,0.11443433,0.152483706,13.5,3,3,7,0.00291251,0,0,0.314093475,
Anthony Daniels,0,16,0.113548387,0.139226131,0,1,1,7,0.001212968,0,0,0.104697825,
The Lord of the Rings: The Two Towers,2,3,0.636363636,0.761904762,3.5,4,4,8,0.003099593,0,0,0.329318272,
The Matrix,4,1,1,1,6,4,4,9,0.005756168,0,0,0.071381517,
Lana Wachowski,4,2,0.571428571,0.625,0,1,1,9,0.001587592,0,0,0.035444876,
Keanu Reeves,4,2,0.571428571,0.625,0,1,1,9,0.001587592,0,0,0.035444876,
Marcus Chong,4,2,0.571428571,0.625,0,1,1,9,0.001587592,0,0,0.035444876,
Gloria Foster,4,2,0.571428571,0.625,0,1,1,9,0.001587592,0,0,0.035444876,
Goodfellas,0,13,0.150556031,0.189945487,1571.297985,4,4,10,0.004024845,0,0,0.250439246,
Martin Scorsese,0,14,0.156862745,0.196464158,3008.105495,3,3,10,0.002867273,0,0,0.252186854,
Mike Starr,0,14,0.130952381,0.153638785,0,1,1,10,0.001219067,0,0,0.080865634,
Paul Sorvino,0,14,0.130952381,0.153638785,0,1,1,10,0.001219067,0,0,0.080865634,
Star Wars: Episode IV - A New Hope,0,15,0.128,0.171731504,404.6666667,4,4,7,0.003996346,0,0,0.354717065,
George Lucas,0,16,0.113548387,0.139226131,0,1,1,7,0.001212968,0,0,0.104697825,
Peter Cushing,0,16,0.113548387,0.139226131,0,1,1,7,0.001212968,0,0,0.104697825,
One Flew Over the Cuckoo's Nest,0,19,0.085147557,0.124669537,2442,4,4,33,0.004618707,0,0,0.124513021,
Milos Forman,0,18,0.09157128,0.125924015,2560,2,2,33,0.002312946,0,0,0.100722374,
Scatman Crothers,0,20,0.079350766,0.115613383,1968,2,2,33,0.002325424,0,0,0.107453568,
Michael Berryman,0,20,0.078501338,0.10320808,0,1,1,33,0.001345429,0,0,0.0502931,
